"date","ihh","spread","selic","inflacao","compuls","inad","pib_mensal","inad_ipea","igp_di"
2016-10-01,1715,41.94,14.05,0.26,66686598,5.79,525394.4,5.79,1.5927008740245
2016-11-01,1715,41.64,13.9,0.18,62181615,5.74,540879.5,5.74,0.646138338215008
2016-12-01,1742,39.84,13.65,0.3,67584004,5.63,566597.7,5.63,10.4415626810591
2017-01-01,1742,41.69,13.17,0.38,78641242,5.67,526821.7,5.67,5.31267969387728
2017-02-01,1742,42.34,12.82,0.33,76462099,5.57,514116.8,5.57,0.75720815196032
2017-03-01,1741,41.81,12.15,0.25,62464721,5.72,542595.2,5.72,-4.4390530419437
2017-04-01,1741,38.96,11.59,0.14,77230243,5.73,523415.3,5.73,-13.9341129724377
2017-05-01,1741,37.36,11.15,0.31,55125117,5.94,547408.5,5.94,-5.97837013991186
2017-06-01,1741,36.21,10.15,-0.23,74108897,5.54,555921.3,5.54,-10.9403632225159
2017-07-01,1741,37.17,10.01,0.24,68112449,5.62,556538,5.62,-3.48607281430331
2017-08-01,1741,36.46,9.15,0.19,66014596,5.6,554736.8,5.6,2.90188404354921
2017-09-01,1751,34.68,8.35,0.16,72349860,5.41,528302.9,5.41,7.6836367729924
2017-10-01,1751,35.05,8.01,0.42,63010629,5.39,549373.8,5.39,1.17698059031486
2017-11-01,1751,34.15,7.4,0.28,69406447,5.26,565746.9,5.26,10.0599531280375
2017-12-01,1741,31.74,7,0.44,74445469,4.91,588865.5,4.91,9.26754863984329
