"date","spread","selic","pib_mensal","inad","igp","ihh"
2011-03-01,3.26652247833555,2.45272775142377,12.7601959487779,1.48387468945875,7.57210567420323,1357
2011-04-01,3.29620716780452,2.46300181439995,12.763557593409,1.51512723296286,6.11197908235774,1357
2011-05-01,3.28989331210348,2.4782176616372,12.8115114790005,1.55180879959746,0.0814202983003831,1357
2011-06-01,3.28541234866844,2.4932054526027,12.8240824011547,1.54968790802833,-1.56385958182769,1361
2011-07-01,3.29249796473881,2.50552593699074,12.8302279367455,1.58719230348678,-0.60816911972531,1361
2011-08-01,3.27638973106881,2.51930807650533,12.8400163814229,1.60140574073684,7.60953523148764,1361
2011-09-01,3.3098128198603,2.47737838336721,12.7993842973223,1.60341984010854,9.41216022218181,1359
2011-10-01,3.33541364111615,2.45958884180371,12.8448760943721,1.63315443905142,4.87981624223151,1359
2011-11-01,3.31745338822919,2.43361335540045,12.8737722660987,1.64093657949347,5.24398053472293,1359
2011-12-01,3.23985423125339,2.3887627892351,12.8790490060193,1.63705307946707,-1.90033772574818,1385
2012-01-01,3.28914787785353,2.37024374146786,12.8151640769261,1.67335123817775,3.64998814238131,1385
2012-02-01,3.31962572796834,2.34180580614733,12.8154375934338,1.69009581545155,0.848717847003178,1385
2012-03-01,3.31127267413417,2.28442112236637,12.8837711067658,1.67147330335355,6.89014233218959,1385
2012-04-01,3.28989331210348,2.2353763433006,12.8546961973006,1.68824909285839,12.8932289861097,1385
2012-05-01,3.22684399451738,2.18267479632149,12.9018979866145,1.70292825552144,11.5292382785686,1385
2012-06-01,3.19540246868256,2.12704052047911,12.8978951991591,1.68639895357023,8.56582219363646,1405
2012-07-01,3.18511219471539,2.08815348228186,12.9369615614794,1.69193913394584,19.7827930649685,1405
2012-08-01,3.15997471694804,2.06051353179432,12.949741585421,1.70474809223843,16.6604878420034,1405
2012-09-01,3.15188095604392,2.00012773496011,12.884958363147,1.69561560867515,11.0881261335594,1419
2012-10-01,3.13418901670101,1.97823903617067,12.9560922407029,1.69927861643389,-3.71290282440302,1419
2012-11-01,3.12851338478781,1.96571277635149,12.9586526792087,1.67896397508271,3.04939230952752,1419
2012-12-01,3.06944731137627,1.96850998097255,12.957044767751,1.66392609771817,8.19862317455575,1465
2013-01-01,3.10054263790634,1.96150224381515,12.9350306456201,1.66581824587021,3.75158328365517,1465
2013-02-01,3.11662159082944,1.96290772542388,12.8969828258698,1.65632149833295,2.40796562667607,1465
2013-03-01,3.08648663682246,1.96711235670592,12.9667181813438,1.63315443905142,3.72254605164082,1474
2013-04-01,3.09013294897548,1.9823798288367,12.9932792239928,1.63315443905142,-0.679030485378707,1474
2013-05-01,3.07176695982999,2.00417905717929,12.9937537956303,1.63899671467564,3.92135465233612,1474
2013-06-01,3.03927057556847,2.06686275947298,13.0024023466376,1.5830939370945,9.55403228378113,1516
2013-07-01,3.07361881221106,2.10778601468898,13.0380643912817,1.5830939370945,1.68672726523422,1516
2013-08-01,3.07454345397828,2.13416644136908,13.0263424450753,1.56234630490025,5.69565831887349,1516
2013-09-01,3.0777729838902,2.18605127673809,12.9952831313152,1.55392520250384,17.567149787518,1540
2013-10-01,3.10144272797611,2.22462355152433,13.0573436738504,1.53255686809814,7.78585117188852,1540
2013-11-01,3.09874002362822,2.24601474150565,13.0568626868635,1.50407739677627,3.37293414150366,1540
2013-12-01,3.06479180948549,2.29253475714054,13.0741293985352,1.48160454092422,8.5887776352477,1566
2014-01-01,3.12500460925813,2.31944221006047,13.0401803976483,1.48160454092422,4.94663718389323,1566
2014-02-01,3.17930304974838,2.34468626901268,13.03048424482,1.47704872438835,10.6259842911134,1566
2014-03-01,3.18593932462194,2.36555989215543,13.0589597853244,1.47932922708708,19.3397505723004,1579
2014-04-01,3.18552584518665,2.38600670113312,13.0737907995613,1.48839958405704,5.54820292887235,1579
2014-05-01,3.20315286440296,2.3887627892351,13.0829235522478,1.52169899812609,-5.32320823877979,1579
